	Zone_2B_1_22	Zone_2B_2_22	Zone_2B_3_22	Musq_01_22	Musq_02_22	Musq_04_22	Musq_06_22	Musq_07_22	Musq_08_22	Musq_11_22	Musq_15_22	Musq_16_22	Musq_19_22	Musq_26_22	Musq_28_22
Zone_2B_1_22	0	0.6921485066413879	0.7515228390693665	0.6943235993385315	0.695671021938324	0.7118219137191772	0.6815686821937561	0.6863688826560974	0.6857791543006897	0.6831352114677429	0.6735453009605408	0.6859819889068604	0.6751831769943237	0.7007466554641724	0.0825495645403862
Zone_2B_2_22	0.6921485066413879	0	0.3229569494724274	0.3205097019672394	0.2609681189060211	0.3380078375339508	0.3409456014633179	0.3138428926467896	0.311965137720108	0.3134036064147949	0.2484124302864075	0.3130791783332825	0.2339012175798416	0.3521036505699158	0.6645411252975464
Zone_2B_3_22	0.7515228390693665	0.3229569494724274	0	0.3032633364200592	0.3657725751399994	0.3207541108131409	0.1793538480997086	0.2983202338218689	0.2947114109992981	0.2965704798698425	0.3290255665779114	0.2961361408233643	0.333956390619278	0.1002177819609642	0.722998321056366
Musq_01_22	0.6943235993385315	0.3205097019672394	0.3032633364200592	0	0.2573365271091461	0.121955044567585	0.2726637721061707	0.06182491779327393	0.05663953721523285	0.0586797297000885	0.138718381524086	0.05800474435091019	0.1615869700908661	0.3458604216575623	0.6650718450546265
Musq_02_22	0.695671021938324	0.2609681189060211	0.3657725751399994	0.2573365271091461	0	0.2748022675514221	0.3698740303516388	0.2872906625270844	0.2855101525783539	0.2868513762950897	0.160398930311203	0.2864461243152618	0.1452651768922806	0.3948220610618591	0.6667203307151794
Musq_04_22	0.7118219137191772	0.3380078375339508	0.3207541108131409	0.121955044567585	0.2748022675514221	0	0.3312433958053589	0.1831750124692917	0.1777915805578232	0.1799795776605606	0.2441480308771133	0.1793616414070129	0.2551905512809753	0.3633586466312408	0.6825700998306274
Musq_06_22	0.6815686821937561	0.3409456014633179	0.1793538480997086	0.2726637721061707	0.3698740303516388	0.3312433958053589	0	0.2645984590053558	0.264119952917099	0.2614898085594177	0.2802797257900238	0.2641775608062744	0.289716899394989	0.0964672714471817	0.6523268818855286
Musq_07_22	0.6863688826560974	0.3138428926467896	0.2983202338218689	0.06182491779327393	0.2872906625270844	0.1831750124692917	0.2645984590053558	0	0.009133962914347649	0.009713342413306236	0.1310863792896271	0.009598864242434502	0.1545317023992538	0.338080108165741	0.6569778323173523
Musq_08_22	0.6857791543006897	0.311965137720108	0.2947114109992981	0.05663953721523285	0.2855101525783539	0.1777915805578232	0.264119952917099	0.009133962914347649	0	0.003067199839279056	0.1302097290754318	0.002142931800335646	0.1531345695257187	0.3373159170150757	0.6565274000167847
Musq_11_22	0.6831352114677429	0.3134036064147949	0.2965704798698425	0.0586797297000885	0.2868513762950897	0.1799795776605606	0.2614898085594177	0.009713342413306236	0.003067199839279056	0	0.1275578141212463	0.004321095999330282	0.1543527990579605	0.3346719741821289	0.6538833379745483
Musq_15_22	0.6735453009605408	0.2484124302864075	0.3290255665779114	0.138718381524086	0.160398930311203	0.2441480308771133	0.2802797257900238	0.1310863792896271	0.1302097290754318	0.1275578141212463	0	0.1308228522539139	0.02785071544349194	0.3531444072723389	0.6445946097373962
Musq_16_22	0.6859819889068604	0.3130791783332825	0.2961361408233643	0.05800474435091019	0.2864461243152618	0.1793616414070129	0.2641775608062744	0.009598864242434502	0.002142931800335646	0.004321095999330282	0.1308228522539139	0	0.153735414147377	0.3380523324012756	0.6568030714988708
Musq_19_22	0.6751831769943237	0.2339012175798416	0.333956390619278	0.1615869700908661	0.1452651768922806	0.2551905512809753	0.289716899394989	0.1545317023992538	0.1531345695257187	0.1543527990579605	0.02785071544349194	0.153735414147377	0	0.3626396954059601	0.6462324857711792
Musq_26_22	0.7007466554641724	0.3521036505699158	0.1002177819609642	0.3458604216575623	0.3948220610618591	0.3633586466312408	0.0964672714471817	0.338080108165741	0.3373159170150757	0.3346719741821289	0.3531444072723389	0.3380523324012756	0.3626396954059601	0	0.6722477674484253
Musq_28_22	0.0825495645403862	0.6645411252975464	0.722998321056366	0.6650718450546265	0.6667203307151794	0.6825700998306274	0.6523268818855286	0.6569778323173523	0.6565274000167847	0.6538833379745483	0.6445946097373962	0.6568030714988708	0.6462324857711792	0.6722477674484253	0
