	2A12B	2A12S	2B03B	2B03S	301B	301S	M08B	M08S	M19S	M20B	M30B	M30S	M32B	M32S
2A12B	0.0	8.296308983158752	56.43542659279632	7.806443433931932	7.555719506675258	9.702851095360627	60.934236424833614	68.76652044517442	65.02590180997709	11.00991902008695	12.926062977306911	48.64281394236351	14.05609929354002	65.92033494892216
2A12S	8.296308983158752	0.0	56.49481765269683	6.479825923852056	7.936550715108132	9.678961636558519	61.19162509951707	68.79085701358092	65.05750106392922	11.746883388223024	12.215729158634172	48.7556135249875	14.346087710409435	65.93379593568642
2B03B	56.43542659279632	56.49481765269683	0.0	56.3969252690083	56.3408413886159	56.720339475812715	88.55221061515822	96.69605922717298	93.12445681100341	56.995156218466114	57.48264420978858	79.64647216394796	57.85421174194359	52.9254657684633
2B03S	7.806443433931932	6.479825923852056	56.3969252690083	0.0	6.581361749175374	9.58331719825813	60.96341283349329	68.72478664352822	64.9922438322711	10.765339733013178	11.637019715807815	48.590042907167245	13.116503870581077	65.6879637000199
301B	7.555719506675258	7.936550715108132	56.3408413886159	6.581361749175374	0.0	7.599857756305185	60.907134931030235	68.6630584546001	64.93179170773229	10.584355320520425	12.61021734273975	48.263640213059	13.377036968924212	65.64560858427019
301S	9.702851095360627	9.678961636558519	56.720339475812715	9.58331719825813	7.599857756305185	0.0	61.37052821489133	68.30161870994282	65.26230696954653	12.652867353161877	14.180009086927054	47.71739281730617	15.172605536493233	66.15177573560487
M08B	60.934236424833614	61.19162509951707	88.55221061515822	60.96341283349329	60.907134931030235	61.37052821489133	0.0	68.6178861058457	63.28344114633501	61.17372095946309	61.93485183334596	84.03878135306482	62.33140776168496	99.57663395995861
M08S	68.76652044517442	68.79085701358092	96.69605922717298	68.72478664352822	68.6630584546001	68.30161870994282	68.6178861058457	0.0	82.88838691939795	69.23890770443343	69.7186251583487	92.34036182472707	70.10676806488915	96.02563098638021
M19S	65.02590180997709	65.05750106392922	93.12445681100341	64.9922438322711	64.93179170773229	65.26230696954653	63.28344114633501	82.88838691939795	0.0	64.74911111100778	65.11989920266872	88.39988060431759	65.4856866728891	104.77802690194817
M20B	11.00991902008695	11.746883388223024	56.995156218466114	10.765339733013178	10.584355320520425	12.652867353161877	61.17372095946309	69.23890770443343	64.74911111100778	0.0	8.461162425494146	47.93300198759688	10.169058556796811	65.68104337315555
M30B	12.926062977306911	12.215729158634172	57.48264420978858	11.637019715807815	12.61021734273975	14.180009086927054	61.93485183334596	69.7186251583487	65.11989920266872	8.461162425494146	0.0	48.22637891394964	10.755274068337846	65.98436393706925
M30S	48.64281394236351	48.7556135249875	79.64647216394796	48.590042907167245	48.263640213059	47.71739281730617	84.03878135306482	92.34036182472707	88.39988060431759	47.93300198759688	48.22637891394964	0.0	48.66357686758588	90.44139665889541
M32B	14.05609929354002	14.346087710409435	57.85421174194359	13.116503870581077	13.377036968924212	15.172605536493233	62.33140776168496	70.10676806488915	65.4856866728891	10.169058556796811	10.755274068337846	48.66357686758588	0.0	66.51034711334322
M32S	65.92033494892216	65.93379593568642	52.9254657684633	65.6879637000199	65.64560858427019	66.15177573560487	99.57663395995861	96.02563098638021	104.77802690194817	65.68104337315555	65.98436393706925	90.44139665889541	66.51034711334322	0.0
