	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	56.5688543083987	83.69921234531286	90.80209222632837	86.18419240576569	59.39485275185646	70.72001405599147	95.0621046604064	64.7517512262434	63.137107879357686	72.41003709665706	93.26284303398253	78.29885698731148	80.43159234676578	85.54588370047553	142.88767757411307	147.0947385217537	125.3444155771652	121.08449930489712	145.26603337465818	151.25329575937846	132.43892157878193	131.86292500568175	140.1763608074784	123.91733902092815	108.66356908996919
Zone_2B_3_23	56.5688543083987	0.0	81.65930408347614	91.39466502843669	87.55914775519068	54.87702081349149	67.34849711799164	96.62828118323729	63.973768723646934	59.54908509793455	73.11349793891307	91.70848041594549	78.42291876843228	79.89205708650121	83.14348185512921	142.85464941125778	146.78162942838745	124.55604670819716	119.84922101255592	144.10645468970736	150.15455187428267	130.9659516164788	129.60847800466527	138.8394592588975	122.43224959777717	107.5337843401431
Zone_2B_1_23	83.69921234531286	81.65930408347614	0.0	108.46595800958977	106.16840688171982	78.28019016500046	70.34123251059074	110.0852339538738	87.8698805187009	85.01404209645364	91.57698233468403	105.1684822828078	96.37131178561299	97.97539301509778	100.7588672213102	152.47001152514557	156.00053343769048	135.0011923183817	130.34164285733098	153.56217022606276	160.18826777033442	140.3562879219249	140.35729488366673	149.54882751293022	134.4505099954767	122.34641410002436
Zone_3_1_23	90.80209222632837	91.39466502843669	108.46595800958977	0.0	62.08807001202002	92.8355809023437	97.22841735636585	78.38799201629244	79.83329582553003	83.34435554350854	79.85887150531902	64.78985214164584	68.36696347787117	66.24716205966514	89.49552685190166	133.5967832725724	136.48620102762726	111.72349636877249	104.31079230682305	130.2891482805676	134.00345065215046	112.47000438097714	110.57771188719288	120.98874954504835	124.73917676208136	115.26237110732937
Zone_3_4_23	86.18419240576569	87.55914775519068	106.16840688171982	62.08807001202002	0.0	88.80829613267082	94.27137743347792	70.30568349595006	74.38973784003468	81.9612605734071	78.23499035471728	64.7673280630074	65.98094062308253	61.92839408916639	95.45188452703908	129.36617396088303	133.6167572774767	109.52245220341139	103.99940173133601	130.46506071511502	135.0096522135197	115.39065001213112	113.95244540944739	123.69894773672142	125.60658449272827	118.04956920297586
Zone_3_3_23	59.39485275185646	54.87702081349149	78.28019016500046	92.8355809023437	88.80829613267082	0.0	68.49819827763878	97.53999123574611	65.56356159424257	59.9501926339606	73.30448660363824	91.62154963966952	79.39651891430535	81.63996346839852	82.06451299837514	144.49976309184993	148.23762922422242	126.26347369776208	121.62955115379502	145.9044766446431	150.9240329566924	132.11160051757759	130.48961923244437	140.054611708559	122.19504659841516	107.6130313595786
Zone_3_2_23	70.72001405599147	67.34849711799164	70.34123251059074	97.22841735636585	94.27137743347792	68.49819827763878	0.0	98.66694568092528	70.29520983144442	68.83215138197414	77.51409446033459	92.90187387322193	84.09843142977907	86.2618515121414	88.23025476952598	141.16712872586623	145.12216171007847	122.88023713502032	117.7795104184387	142.5025093471033	149.08945113392443	129.6423786694167	129.25310162848754	138.84079839186035	123.03955559746588	109.66143535850826
Zone_2A_12_23	95.0621046604064	96.62828118323729	110.0852339538738	78.38799201629244	70.30568349595006	97.53999123574611	98.66694568092528	0.0	83.4797230783678	93.65317328589886	84.31872861956843	72.24457017961319	75.53282822882963	71.12261637734518	105.71430497526302	126.19003402489048	131.3130434344542	107.31839038348105	102.21510147028803	130.53749848557237	138.1809742368355	118.68114412867035	116.15268650059585	127.51064326895379	130.4045249311284	124.70317020092948
Zone_2A_10_23	64.7517512262434	63.973768723646934	87.8698805187009	79.83329582553003	74.38973784003468	65.56356159424257	70.29520983144442	83.4797230783678	0.0	61.295656470061154	55.72712565315714	76.78200724201308	66.23947870437176	66.6526400647058	79.10803180133612	130.15055103935975	134.3085750730145	110.28183677727854	104.42890181647763	130.77505852431284	137.39852907032332	117.36916401043179	116.12545941122212	126.91988057694363	112.643802315259	101.61571109020858
Zone_2A_1_23	63.137107879357686	59.54908509793455	85.01404209645364	83.34435554350854	81.9612605734071	59.9501926339606	68.83215138197414	93.65317328589886	61.295656470061154	0.0	66.68883843559641	82.24886677223158	72.79768388814969	75.94142872783424	76.67377036221228	139.49249042402445	142.16042373351107	119.27446132243183	114.19758929771156	138.0739453838392	142.53002111898687	122.70322862307654	121.75885925279037	131.67591724376118	115.9186083903168	101.34770613110533
