	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	0.0803	0.364	0.8889	0.8927	0.0812	0.1539	0.9037	0.1422	0.1921	0.1993	0.8955	0.5153	0.339	0.2906	0.9964	0.991	0.9444	0.9417	0.955	0.947	0.9115	0.9316	0.94	0.7621	0.5436
Zone_2B_3_23	0.0803	0.0	0.3616	0.9062	0.9117	0.0742	0.1476	0.9174	0.155	0.2038	0.2094	0.9094	0.5329	0.355	0.3025	0.9962	0.9904	0.9546	0.9482	0.962	0.9514	0.9222	0.9321	0.9429	0.7646	0.5494
Zone_2B_1_23	0.364	0.3616	0.0	0.9077	0.9128	0.3582	0.2665	0.9148	0.3741	0.3609	0.3839	0.909	0.5388	0.4199	0.3679	0.9964	0.9903	0.9549	0.9499	0.9686	0.9609	0.9245	0.9381	0.9517	0.7754	0.5585
Zone_3_1_23	0.8889	0.9062	0.9077	0.0	0.3605	0.9035	0.9291	0.6987	0.7858	0.7386	0.7374	0.3304	0.4694	0.5979	0.6637	0.9878	0.973	0.8715	0.8362	0.9231	0.8942	0.6353	0.7534	0.85	0.9239	0.8915
Zone_3_4_23	0.8927	0.9117	0.9128	0.3605	0.0	0.9053	0.9328	0.7204	0.8046	0.747	0.7541	0.4164	0.5043	0.607	0.7134	0.993	0.9846	0.8731	0.8333	0.9354	0.9073	0.6994	0.7899	0.8691	0.9307	0.8993
Zone_3_3_23	0.0812	0.0742	0.3582	0.9035	0.9053	0.0	0.1563	0.9135	0.1562	0.2032	0.2085	0.9078	0.5302	0.3523	0.3036	0.9965	0.9914	0.9515	0.9479	0.9619	0.9531	0.9253	0.9398	0.9487	0.7671	0.551
Zone_3_2_23	0.1539	0.1476	0.2665	0.9291	0.9328	0.1563	0.0	0.9331	0.1853	0.231	0.2346	0.9297	0.5549	0.379	0.329	0.997	0.9926	0.9607	0.9553	0.9667	0.9596	0.9387	0.946	0.9534	0.7723	0.56
Zone_2A_12_23	0.9037	0.9174	0.9148	0.6987	0.7204	0.9135	0.9331	0.0	0.8477	0.8285	0.8356	0.7007	0.7385	0.7643	0.8303	0.9952	0.9871	0.9053	0.8928	0.9465	0.9315	0.8485	0.8805	0.9198	0.941	0.9187
Zone_2A_10_23	0.1422	0.155	0.3741	0.7858	0.8046	0.1562	0.1853	0.8477	0.0	0.1457	0.1334	0.7989	0.4209	0.2491	0.2267	0.9935	0.9856	0.9198	0.8963	0.9391	0.9176	0.8385	0.8611	0.8927	0.7439	0.523
Zone_2A_1_23	0.1921	0.2038	0.3609	0.7386	0.747	0.2032	0.231	0.8285	0.1457	0.0	0.1417	0.7453	0.3727	0.2085	0.1826	0.9917	0.9825	0.9089	0.8853	0.9362	0.9114	0.7979	0.8409	0.887	0.7395	0.5087
Musq_25_23	0.1993	0.2094	0.3839	0.7374	0.7541	0.2085	0.2346	0.8356	0.1334	0.1417	0.0	0.736	0.3786	0.2114	0.1825	0.9875	0.9787	0.907	0.8774	0.9358	0.9096	0.7839	0.8135	0.8661	0.7375	0.5179
Musq_27_23	0.8955	0.9094	0.909	0.3304	0.4164	0.9078	0.9297	0.7007	0.7989	0.7453	0.736	0.0	0.4759	0.6002	0.6635	0.9778	0.9558	0.8481	0.7915	0.8975	0.8739	0.5757	0.7161	0.8346	0.9185	0.8888
Musq_29_23	0.5153	0.5329	0.5388	0.4694	0.5043	0.5302	0.5549	0.7385	0.4209	0.3727	0.3786	0.4759	0.0	0.2672	0.3278	0.991	0.9807	0.888	0.8473	0.93	0.9009	0.6768	0.7693	0.8613	0.7481	0.5373
Musq_31_23	0.339	0.355	0.4199	0.5979	0.607	0.3523	0.379	0.7643	0.2491	0.2085	0.2114	0.6002	0.2672	0.0	0.1858	0.9917	0.9816	0.8903	0.8521	0.9314	0.9045	0.727	0.8013	0.8646	0.7532	0.5502
Musq_19_23	0.2906	0.3025	0.3679	0.6637	0.7134	0.3036	0.329	0.8303	0.2267	0.1826	0.1825	0.6635	0.3278	0.1858	0.0	0.981	0.9683	0.8873	0.8493	0.918	0.8877	0.7009	0.77	0.8448	0.7299	0.5045
