	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0	0.3106044232845306	0.3732471466064453	0.4311581254005432	0.4451278448104858	0.3049063980579376	0.3675777018070221	0.382365494966507	0.3246795535087585	0.3313980996608734	0.384182333946228	0.5367027521133423	0.3850224614143372	0.357789933681488	0.4617715179920197	0.6981191635131836	0.7011523842811584	0.7584700584411621	0.7233700156211853	0.6595413684844971	0.6022267937660217	0.6391277313232422	0.6190706491470337	0.6075063347816467	0.499934196472168	0.4586171507835388
Zone_2B_3_23	0.3106044232845306	0	0.3815696835517883	0.4450209140777588	0.492984801530838	0.3358295261859894	0.3293395340442657	0.3617230951786041	0.3376709222793579	0.3255786597728729	0.3388760089874268	0.528602659702301	0.3802154660224915	0.3517086505889893	0.4712772071361542	0.6718599796295166	0.692021906375885	0.7562358379364014	0.7203197479248047	0.664955198764801	0.5969455242156982	0.6278769969940186	0.6124222278594971	0.6008954048156738	0.4389525353908539	0.4511671662330627
Zone_2B_1_23	0.3732471466064453	0.3815696835517883	0	0.5007394552230835	0.5505806803703308	0.4139317572116852	0.328961193561554	0.3845671117305756	0.3552232980728149	0.3569874465465546	0.4034296274185181	0.5580306649208069	0.4442654550075531	0.401872307062149	0.4882612526416779	0.6695245504379272	0.6662682890892029	0.7350378036499023	0.7047358751296997	0.6383526921272278	0.5949367880821228	0.656097412109375	0.6350381374359131	0.5948144197463989	0.4795699119567871	0.4599489569664001
Zone_3_1_23	0.4311581254005432	0.4450209140777588	0.5007394552230835	0	0.4140951037406921	0.4624173939228058	0.4566265940666199	0.436013251543045	0.4095354974269867	0.4106110334396362	0.426984429359436	0.4835002720355988	0.3861770033836365	0.3680495917797089	0.4277692437171936	0.723615288734436	0.7076476812362671	0.7358636856079102	0.6837148070335388	0.6533265113830566	0.5586658120155334	0.5814220309257507	0.5693709254264832	0.5779559016227722	0.4918731153011322	0.5158905982971191
Zone_3_4_23	0.4451278448104858	0.492984801530838	0.5505806803703308	0.4140951037406921	0	0.481515109539032	0.5170103311538696	0.4353457689285278	0.462128758430481	0.4352282583713531	0.4789423048496246	0.4502239525318146	0.4163073599338531	0.4280881583690643	0.5075730681419373	0.7792390584945679	0.7666861414909363	0.7458682060241699	0.6937769651412964	0.7091326117515564	0.6683743000030518	0.6713743209838867	0.6603804230690002	0.6736634373664856	0.5915063619613647	0.5816839337348938
Zone_3_3_23	0.3049063980579376	0.3358295261859894	0.4139317572116852	0.4624173939228058	0.481515109539032	0	0.3420961797237396	0.368118941783905	0.3298874199390411	0.3512919247150421	0.4023591876029968	0.5281087756156921	0.3727893531322479	0.3289919793605804	0.5071488618850708	0.6820802688598633	0.7041872143745422	0.7668970227241516	0.7246025204658508	0.6681282520294189	0.6458386182785034	0.6752331256866455	0.6398708820343018	0.6249427795410156	0.5058491826057434	0.476473331451416
Zone_3_2_23	0.3675777018070221	0.3293395340442657	0.328961193561554	0.4566265940666199	0.5170103311538696	0.3420961797237396	0	0.3232362270355225	0.2995080947875977	0.3155995607376099	0.3551596701145172	0.530756413936615	0.3911990523338318	0.3333361744880676	0.4975910484790802	0.6638172268867493	0.678768515586853	0.7556178569793701	0.7075269222259521	0.6496616005897522	0.5980241298675537	0.6647590398788452	0.6318377256393433	0.5823853611946106	0.4265080392360687	0.4634186029434204
Zone_2A_12_23	0.382365494966507	0.3617230951786041	0.3845671117305756	0.436013251543045	0.4353457689285278	0.368118941783905	0.3232362270355225	0	0.3544554114341736	0.3259595930576324	0.3743692338466644	0.4949029386043549	0.3456650674343109	0.3104639649391174	0.4780343174934387	0.7091505527496338	0.7015154361724854	0.7606651186943054	0.7328928112983704	0.6665661931037903	0.6018426418304443	0.6631601452827454	0.6100465059280396	0.6052545309066772	0.4754573702812195	0.4747978746891022
Zone_2A_10_23	0.3246795535087585	0.3376709222793579	0.3552232980728149	0.4095354974269867	0.462128758430481	0.3298874199390411	0.2995080947875977	0.3544554114341736	0	0.3121898174285889	0.3234351575374603	0.4841571152210236	0.3089069128036499	0.2702574729919434	0.416991800069809	0.6474182605743408	0.6624671816825867	0.7306491732597351	0.6799647212028503	0.6374587416648865	0.5637935400009155	0.6202927827835083	0.5805626511573792	0.571085512638092	0.4139713048934937	0.3901815414428711
Zone_2A_1_23	0.3313980996608734	0.3255786597728729	0.3569874465465546	0.4106110334396362	0.4352282583713531	0.3512919247150421	0.3155995607376099	0.3259595930576324	0.3121898174285889	0	0.3546537160873413	0.4749870598316193	0.3394052684307098	0.334925651550293	0.4118138253688812	0.6697325706481934	0.6424235701560974	0.7189392447471619	0.6698294878005981	0.6104613542556763	0.5390903949737549	0.6092486977577209	0.574300229549408	0.5731454491615295	0.4297527074813843	0.4103734493255615
Musq_25_23	0.384182333946228	0.3388760089874268	0.4034296274185181	0.426984429359436	0.4789423048496246	0.4023591876029968	0.3551596701145172	0.3743692338466644	0.3234351575374603	0.3546537160873413	0	0.48122638463974	0.3781559467315674	0.3542939424514771	0.4095701277256012	0.6348416805267334	0.6473109722137451	0.7083977460861206	0.667292058467865	0.6148836612701416	0.549100399017334	0.5935999751091003	0.5450602769851685	0.5284696817398071	0.392711341381073	0.4091810584068298
