	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	12.541376501674288	16.84087516206034	15.800421924424471	14.927953129113712	14.08031995216541	13.108173895983796	19.37228751406549	16.865868367018873	16.252524637166594	23.236212152996888	18.03821628562725	15.013449908158304	24.08221971602224	24.10494067928585	37.62772280598044	32.20955946833636	30.94970432769984	28.10846476549657	21.972577738760037	25.879501117899373	23.811390060063776	22.18412066025276	24.767708135802906	24.441019207845734	24.61077321158901
Zone_2B_3_23	12.541376501674288	0.0	14.36068727073923	13.51028284845824	13.614455818590804	13.18511244423021	11.354014649098929	21.644428357969282	14.454112251782197	14.242696141689922	21.47601244437016	12.291513472823553	13.202900494460634	23.030931807901673	25.125083065574657	36.743153200790964	31.07263998698504	29.671171320640745	27.32615614756155	22.586450237345122	25.31445211514326	25.096640434850016	25.247561749902136	23.387483584247093	26.50234105277913	20.59577531635703
Zone_2B_1_23	16.84087516206034	14.36068727073923	0.0	11.211486782907741	16.977889046030217	17.221320777032805	14.582707040516038	21.47236745025525	14.46483346485878	16.27483515800272	17.627709297353853	17.27520671981506	15.41450185462807	24.065493302726495	25.807219867645557	37.56002780593147	32.27624690263475	30.609921669028886	27.70360818742413	23.737348392013356	28.163165572840473	26.3014817787756	27.149480042126992	27.887485815828004	28.16963463988548	22.56894234379837
Zone_3_1_23	15.800421924424471	13.51028284845824	11.211486782907741	0.0	12.552258514355069	11.569758502783138	8.574948572167424	18.96026170167135	9.58393455743955	9.84632378680872	19.092163862905192	14.653795873935888	10.216039941341439	20.58545917675936	23.580438935941018	35.999827397917855	30.474613346922602	29.578269910295866	25.818842389406026	21.76896235642982	24.809280786766507	23.304102930132096	23.794136737737983	25.29098697267584	25.012787394854396	20.883783238371
Zone_3_4_23	14.927953129113712	13.614455818590804	16.977889046030217	12.552258514355069	0.0	10.320241869717407	7.599035187458982	16.89014071826722	11.094190084610844	11.058865697098678	23.16953823263161	13.171888659783363	4.706277349436494	17.850211131269326	26.075102422417665	33.7654153679284	28.24734547181545	27.566862670235746	23.696582541231137	18.650418191900215	22.34951534533896	21.948229555032782	22.242272391022933	24.199874709344257	23.588787387702485	22.01011293006879
Zone_3_3_23	14.08031995216541	13.18511244423021	17.221320777032805	11.569758502783138	10.320241869717407	0.0	7.076438469421633	20.229701980403636	12.061849083359014	11.519912742923967	22.82314174151212	15.450303768517859	9.193655309475954	21.4962255215768	25.176820754000488	34.22835415901626	29.237430694639478	28.203060317582647	25.471454092856654	21.02925271955932	23.51737009093058	24.32264132463635	22.666053204651345	25.640295711140062	24.677721280979046	21.90960847516171
Zone_3_2_23	13.108173895983796	11.354014649098929	14.582707040516038	8.574948572167424	7.599035187458982	7.076438469421633	0.0	17.938189669923705	9.305991966798436	8.632079782424656	20.94568941959548	13.237992921871873	6.571353916759495	19.661922047824458	24.07622188857152	33.924468995430544	28.02094528738743	27.17049947714759	23.34421580141399	18.424784266993488	22.333371763274577	22.06086475292718	21.150150721473462	24.46107547721187	22.8407942140771	20.94180944880119
Zone_2A_12_23	19.37228751406549	21.644428357969282	21.47236745025525	18.96026170167135	16.89014071826722	20.229701980403636	17.938189669923705	0.0	17.883548467756185	18.45814783256316	25.728106082868923	20.04013627370244	16.675637697737372	23.50424902517069	27.79125445755988	37.46347742014143	32.40261690227319	31.548556117175423	27.882505312746783	22.208046835500628	28.38277011929251	23.548050458869835	24.753466911541988	25.80680380254366	25.417556128317553	27.2773564664373
Zone_2A_10_23	16.865868367018873	14.454112251782197	14.46483346485878	9.58393455743955	11.094190084610844	12.061849083359014	9.305991966798436	17.883548467756185	0.0	9.518670754787097	21.220841919196776	13.198918051624315	9.735121373251825	19.37040278007723	25.436774040328853	35.02807098300953	30.020609542863955	29.13227150557074	25.087913380131496	21.50530968448379	25.20819109799522	22.6392313359293	24.105794590167367	24.632378699889056	24.8892987848845	22.947915871947174
Zone_2A_1_23	16.252524637166594	14.242696141689922	16.27483515800272	9.84632378680872	11.058865697098678	11.519912742923967	8.632079782424656	18.45814783256316	9.518670754787097	0.0	21.224543031234724	13.910954859989857	9.635225757776775	17.934380533550996	23.156336253939987	33.80324442739132	28.63384980486124	27.994414463083444	24.63416851158312	21.578964080641473	22.875373797950523	19.356965186337383	20.500002011069377	22.606294334280594	21.53622068973613	22.244790280892143
