	Zone_2B_2_23	Zone_2B_3_23	Zone_2B_1_23	Zone_3_1_23	Zone_3_4_23	Zone_3_3_23	Zone_3_2_23	Zone_2A_12_23	Zone_2A_10_23	Zone_2A_1_23	Musq_25_23	Musq_27_23	Musq_29_23	Musq_31_23	Musq_19_23	Musq_01_23	Musq_03_23	Musq_05_23	Musq_07_23	Musq_09_23	Musq_11_23	Musq_13_23	Musq_15_23	Musq_17_23	Musq_21_23	Musq_23_23
Zone_2B_2_23	0.0	0.4	0.6111111111111112	0.4666666666666667	0.5384615384615384	0.5	0.42857142857142855	0.6111111111111112	0.5625	0.5625	0.6363636363636364	0.5625	0.5333333333333333	0.7222222222222222	0.6	0.9117647058823529	0.8076923076923077	0.76	0.7916666666666666	0.75	0.6666666666666666	0.6818181818181818	0.5714285714285714	0.6818181818181818	0.6521739130434783	0.72
Zone_2B_3_23	0.4	0.0	0.4375	0.5625	0.5384615384615384	0.5	0.42857142857142855	0.6842105263157895	0.5625	0.5625	0.6363636363636364	0.4666666666666667	0.5333333333333333	0.7222222222222222	0.6	0.8787878787878788	0.76	0.76	0.7916666666666666	0.75	0.6666666666666666	0.7391304347826086	0.6956521739130435	0.6818181818181818	0.7083333333333334	0.6666666666666666
Zone_2B_1_23	0.6111111111111112	0.4375	0.0	0.5	0.6666666666666666	0.5294117647058824	0.4666666666666667	0.631578947368421	0.5	0.5	0.45	0.5	0.5625	0.7368421052631579	0.56	0.8484848484848485	0.8148148148148148	0.7692307692307693	0.8	0.7619047619047619	0.7391304347826086	0.6956521739130435	0.7083333333333334	0.75	0.72	0.5652173913043478
Zone_3_1_23	0.4666666666666667	0.5625	0.5	0.0	0.6153846153846154	0.4666666666666667	0.38461538461538464	0.5882352941176471	0.3076923076923077	0.3076923076923077	0.47368421052631576	0.42857142857142855	0.38461538461538464	0.625	0.5833333333333334	0.875	0.8	0.8	0.7272727272727273	0.8	0.7142857142857143	0.6	0.6818181818181818	0.7272727272727273	0.6363636363636364	0.5909090909090909
Zone_3_4_23	0.5384615384615384	0.5384615384615384	0.6666666666666666	0.6153846153846154	0.0	0.5384615384615384	0.3	0.5714285714285714	0.5	0.5	0.6842105263157895	0.5	0.3	0.6153846153846154	0.6956521739130435	0.8571428571428571	0.7619047619047619	0.7619047619047619	0.7368421052631579	0.75	0.5625	0.6666666666666666	0.6111111111111112	0.6666666666666666	0.631578947368421	0.65
Zone_3_3_23	0.5	0.5	0.5294117647058824	0.4666666666666667	0.5384615384615384	0.0	0.3076923076923077	0.6111111111111112	0.35714285714285715	0.35714285714285715	0.5714285714285714	0.5625	0.3076923076923077	0.7222222222222222	0.6	0.8064516129032258	0.76	0.7083333333333334	0.6818181818181818	0.6842105263157895	0.6666666666666666	0.6190476190476191	0.5714285714285714	0.6818181818181818	0.5909090909090909	0.6086956521739131
Zone_3_2_23	0.42857142857142855	0.42857142857142855	0.4666666666666667	0.38461538461538464	0.3	0.3076923076923077	0.0	0.4666666666666667	0.25	0.25	0.5263157894736842	0.38461538461538464	0.18181818181818182	0.6	0.5652173913043478	0.8333333333333334	0.6818181818181818	0.6818181818181818	0.65	0.6470588235294118	0.5555555555555556	0.5789473684210527	0.5263157894736842	0.7142857142857143	0.55	0.5714285714285714
Zone_2A_12_23	0.6111111111111112	0.6842105263157895	0.631578947368421	0.5882352941176471	0.5714285714285714	0.6111111111111112	0.4666666666666667	0.0	0.5	0.5	0.5909090909090909	0.5882352941176471	0.4666666666666667	0.6666666666666666	0.6666666666666666	0.8484848484848485	0.7692307692307693	0.7692307692307693	0.75	0.631578947368421	0.6818181818181818	0.5714285714285714	0.5909090909090909	0.6956521739130435	0.6086956521739131	0.68
Zone_2A_10_23	0.5625	0.5625	0.5	0.3076923076923077	0.5	0.35714285714285715	0.25	0.5	0.0	0.16666666666666666	0.47368421052631576	0.42857142857142855	0.25	0.625	0.5833333333333334	0.8387096774193549	0.75	0.75	0.6666666666666666	0.7368421052631579	0.65	0.5263157894736842	0.6190476190476191	0.6666666666666666	0.5714285714285714	0.5909090909090909
Zone_2A_1_23	0.5625	0.5625	0.5	0.3076923076923077	0.5	0.35714285714285715	0.25	0.5	0.16666666666666666	0.0	0.47368421052631576	0.42857142857142855	0.25	0.625	0.5217391304347826	0.8	0.6956521739130435	0.6956521739130435	0.6666666666666666	0.7368421052631579	0.65	0.4444444444444444	0.55	0.6666666666666666	0.5	0.5909090909090909
