	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0.0	35.125785047133654	25.741588736231456	30.745208964500783	34.68412926945572	30.220360139159354	32.362655916214685	38.2593250561664	35.82562308796663	35.40516470202836	34.84805024813721	32.32966319647017	35.79559535754157	37.63730185605417	25.467160776231765	26.387776105135607	39.29369796852157	33.43288990272122	34.314929491972926	29.29030885387911	35.87017807058459	28.08387356960995	34.28121139899589	30.875153023366057	29.174921422240224
Musq_21_24	35.125785047133654	0.0	27.275797803455802	30.879200882550922	31.2706630592593	31.628068668230927	36.264141147298815	35.92292696832172	33.27397734496319	37.55492830460468	34.01949360616369	34.61599592644039	30.061352310939096	34.99322139914948	29.62597864097171	29.46329659123557	47.21770277043527	39.96388143773461	37.27496050480648	35.586428767752544	34.38875734085211	30.322583415873638	35.76056383167715	30.660085408501065	30.24326941023706
Musq_23_24	25.741588736231456	27.275797803455802	0.0	25.86238584608918	28.871719384440752	25.69020568328212	29.8655431126906	33.06559856005063	29.358196485617547	32.31738240029668	29.369760625125416	26.609243795949116	28.99987575485119	32.13246894604451	25.760742631441307	24.227458485956543	41.25840417676755	34.80293523352783	34.63596436321232	29.053927288466717	32.93758211880066	25.919584198876628	34.94940989682945	27.825999122726643	27.27619541071687
Musq_25_24	30.745208964500783	30.879200882550922	25.86238584608918	0.0	28.156792660217857	27.373872638645977	31.09493269886822	33.6224239324988	31.28539311765217	34.2372672524717	30.944852794730203	30.49322035648463	30.363142592962166	32.528574020315055	29.1992347264262	24.792066666126654	46.126227040626695	40.94157340700841	39.26092133599074	35.129873286754275	34.64391976999371	28.002264280564855	35.0759929901121	31.924414670182294	29.66778951176159
Musq_27_24	34.68412926945572	31.2706630592593	28.871719384440752	28.156792660217857	0.0	28.484171295521406	30.922164330417136	30.78567634113685	27.674952927121055	34.325927205579426	29.692001384334745	31.727778577057848	28.287548973446313	31.201207744026046	32.99510972983659	29.885611014342057	49.86152984719029	44.067898874822596	40.79941518922565	39.26434694361352	35.921954864754674	34.14038120315303	37.6296200542866	33.47297130582637	34.47421956689303
Musq_29_24	30.220360139159354	31.628068668230927	25.69020568328212	27.373872638645977	28.484171295521406	0.0	21.416695391545883	31.83342354177802	27.39323335565483	29.862027159995097	25.1638117430847	23.944153158163513	26.299669516138742	29.838298484484934	25.824133197461478	26.487408226202465	44.66868543060834	39.26071218473804	38.33575657729755	36.27732310633332	37.285847185154495	33.50704029701076	36.29163416143359	33.8618826357035	32.20947847968825
Musq_31_24	32.362655916214685	36.264141147298815	29.8655431126906	31.09493269886822	30.922164330417136	21.416695391545883	0.0	32.593175945800084	29.182582813998227	30.41385268633263	26.02758047231519	28.46959545211272	28.579815879793077	31.028212459735528	27.873855826898218	29.40376199586101	45.89119036865279	40.48546977982823	38.632458380057614	37.9895406226024	39.264086170985436	34.878410156633116	36.71736769186602	36.4342122681311	33.72573250262459
Zone_2B_1_24	38.2593250561664	35.92292696832172	33.06559856005063	33.6224239324988	30.78567634113685	31.83342354177802	32.593175945800084	0.0	28.844547055674614	33.300818392242874	29.950328814606735	34.093009184621	31.584723535278496	33.40513885198335	36.295908300834064	32.67882060309236	50.57964578071463	46.164511384629684	43.817992905752995	41.90900509242907	40.255544291499234	36.75815530475849	39.366817202877165	36.350449416271886	36.35605305065593
Zone_2B_2_24	35.82562308796663	33.27397734496319	29.358196485617547	31.28539311765217	27.674952927121055	27.39323335565483	29.182582813998227	28.844547055674614	0.0	31.426068023822303	27.53641760444428	29.54849403591354	29.04901453249714	26.53791981825537	33.72195400229892	30.28973991804711	50.35685216836865	45.016046990719055	42.49679433240894	39.58526010238776	39.21527856163416	36.543148488420655	39.63039759664281	35.224262321952324	36.375350126477784
Zone_2B_3_24	35.40516470202836	37.55492830460468	32.31738240029668	34.2372672524717	34.325927205579426	29.862027159995097	30.41385268633263	33.300818392242874	31.426068023822303	0.0	28.438792057622702	31.467151269665756	33.153650573029324	33.154384948041184	35.03379202427557	32.63752395670261	47.31160345794339	42.22670335094091	40.57912768867439	38.716599776078795	40.500260401298476	35.26121693428599	39.04750621744137	34.99452397983452	34.31516813480351
