	shannon_entropy
Musq_19_24	1.7262014857916466
Musq_21_24	3.8095413916103578
Musq_23_24	2.8894410760083997
Musq_25_24	3.511989465982329
Musq_27_24	4.480363810111719
Musq_29_24	3.358283690286492
Musq_31_24	3.579466200950405
Zone_2B_1_24	4.41193088438069
Zone_2B_2_24	3.9572408382580915
Zone_2B_3_24	3.525098470565399
Zone_3_1_24	3.851007804895124
Zone_3_3_24	2.760495637120955
Zone_3_2_24	3.8084404836817844
Zone_2A_12_24	4.38326366162884
Zone_2A_10_24	2.977190934207869
Zone_2A_1_24	2.496384317939117
Musq_01_24	2.8370469019693974
Musq_03_24	2.530152090370109
Musq_05_24	2.5835909118248006
Musq_07_24	2.795717611544145
Musq_09_24	3.1538119338548016
Musq_11_24	3.296251622200136
Musq_13_24	3.3317866618296454
Musq_15_24	2.5153904827798153
Musq_17_24	2.21912853721743
