	Musq_19_24	Musq_21_24	Musq_23_24	Musq_25_24	Musq_27_24	Musq_29_24	Musq_31_24	Zone_2B_1_24	Zone_2B_2_24	Zone_2B_3_24	Zone_3_1_24	Zone_3_3_24	Zone_3_2_24	Zone_2A_12_24	Zone_2A_10_24	Zone_2A_1_24	Musq_01_24	Musq_03_24	Musq_05_24	Musq_07_24	Musq_09_24	Musq_11_24	Musq_13_24	Musq_15_24	Musq_17_24
Musq_19_24	0	0.4348677396774292	0.3091381192207336	0.3509415984153748	0.424311101436615	0.5181717276573181	0.4336230158805847	0.4446632862091064	0.4164523780345917	0.4030159115791321	0.4623474180698395	0.3863721489906311	0.3767624497413635	0.4454145133495331	0.4229953587055206	0.3690411448478699	0.4975324273109436	0.511155366897583	0.4616587162017822	0.3283217251300812	0.4321976602077484	0.3955190777778625	0.4643412232398987	0.453720897436142	0.3825893700122833
Musq_21_24	0.4348677396774292	0	0.2923471927642822	0.3460310697555542	0.318419337272644	0.4571191966533661	0.4334654808044434	0.3532164692878723	0.458341509103775	0.4140237867832184	0.4097890257835388	0.4059223830699921	0.3869540691375732	0.4794845283031464	0.3676366209983826	0.4159574508666992	0.3939396440982819	0.3762696087360382	0.3465131223201752	0.2838206887245178	0.2959933280944824	0.2038988769054413	0.2832764983177185	0.3008050322532654	0.2602741420269012
Musq_23_24	0.3091381192207336	0.2923471927642822	0	0.4039571583271027	0.295489490032196	0.5256695151329041	0.4243305325508118	0.397161066532135	0.4202810227870941	0.4307712316513062	0.450303316116333	0.4001684784889221	0.3846786022186279	0.4198967814445496	0.31587153673172	0.4041407406330109	0.3869203925132751	0.3765775859355927	0.3744118213653564	0.2697635889053345	0.3607797920703888	0.3348629474639893	0.376644492149353	0.3774642050266266	0.3195416033267975
Musq_25_24	0.3509415984153748	0.3460310697555542	0.4039571583271027	0	0.34872967004776	0.4676528573036194	0.306434154510498	0.354412853717804	0.4022310376167297	0.287969172000885	0.3973778486251831	0.3839914500713348	0.3311774134635925	0.3844850957393646	0.4315304160118103	0.3443897366523743	0.5089155435562134	0.4709261357784271	0.4193226099014282	0.4076749682426453	0.3677660524845123	0.349037379026413	0.3825891017913818	0.3992210030555725	0.3486315906047821
Musq_27_24	0.424311101436615	0.318419337272644	0.295489490032196	0.34872967004776	0	0.4897683262825012	0.4112667441368103	0.3508725762367249	0.4133760929107666	0.3771296739578247	0.365690290927887	0.4159316420555115	0.4108556509017944	0.4300892949104309	0.3544878661632538	0.3885867893695831	0.4654532968997955	0.4239437878131866	0.4150691032409668	0.3969424962997437	0.3180102705955505	0.370498925447464	0.324114978313446	0.3526429533958435	0.3375661373138428
Musq_29_24	0.5181717276573181	0.4571191966533661	0.5256695151329041	0.4676528573036194	0.4897683262825012	0	0.4593862593173981	0.4537216126918793	0.4668369889259338	0.4389601051807404	0.4231945276260376	0.431486964225769	0.5050028562545776	0.521235466003418	0.4668464958667755	0.412350982427597	0.6118650436401367	0.6118409633636475	0.5763674378395081	0.5357957482337952	0.5096088051795959	0.5070696473121643	0.5031363964080811	0.4801745414733887	0.4321181178092957
Musq_31_24	0.4336230158805847	0.4334654808044434	0.4243305325508118	0.306434154510498	0.4112667441368103	0.4593862593173981	0	0.4210096895694733	0.3956114649772644	0.3134454786777496	0.3264962136745453	0.3712489604949951	0.285053163766861	0.4011464715003967	0.4985869228839874	0.4553276300430298	0.5122779011726379	0.5733773112297058	0.4124866127967834	0.4707574546337128	0.4970538318157196	0.4839667081832886	0.4940682947635651	0.4657846391201019	0.4780170619487762
Zone_2B_1_24	0.4446632862091064	0.3532164692878723	0.397161066532135	0.354412853717804	0.3508725762367249	0.4537216126918793	0.4210096895694733	0	0.387539803981781	0.3174642324447632	0.345932275056839	0.4064076244831085	0.4024414718151093	0.4624425768852234	0.4404900968074799	0.4808105528354645	0.4850316345691681	0.4787589609622955	0.417822390794754	0.4082851111888885	0.387319952249527	0.3821778297424316	0.3853826820850372	0.3128798007965088	0.2949638068675995
Zone_2B_2_24	0.4164523780345917	0.458341509103775	0.4202810227870941	0.4022310376167297	0.4133760929107666	0.4668369889259338	0.3956114649772644	0.387539803981781	0	0.3499016761779785	0.3933773636817932	0.3819269835948944	0.4118156135082245	0.3376136720180511	0.482869952917099	0.4506684541702271	0.5826107859611511	0.6169338822364807	0.5144891738891602	0.481807142496109	0.4899364411830902	0.5142300724983215	0.5009196400642395	0.4771283566951752	0.4807330071926117
Zone_2B_3_24	0.4030159115791321	0.4140237867832184	0.4307712316513062	0.287969172000885	0.3771296739578247	0.4389601051807404	0.3134454786777496	0.3174642324447632	0.3499016761779785	0	0.3875201046466827	0.3755548298358917	0.3117324411869049	0.3647158741950989	0.4697999060153961	0.3798069059848785	0.5433691143989563	0.5433886647224426	0.4527624845504761	0.4782660603523254	0.4676779210567474	0.4714790880680084	0.4700904488563538	0.3637215197086334	0.4261470437049866
