	shannon_entropy
Zone_2B_1_22	0.8326587546249684
Zone_2B_2_22	1.3815124317292813
Zone_2B_3_22	0.527610353569247
Musq_01_22	1.7945998864285138
Musq_02_22	2.2805086361485083
Musq_04_22	0.40393912350886785
Musq_06_22	2.3808477262808516
Musq_07_22	1.172892265692559
Musq_08_22	0.6525982224472165
Musq_11_22	0.7457867055214379
Musq_15_22	1.387405521486373
Musq_16_22	1.2027276579519126
Musq_19_22	1.6737966548617949
Musq_26_22	1.069633621455203
Musq_28_22	0.14653102510930624
Zone_2B_2_23	1.2133070650441888
Zone_2B_3_23	0.7308835282655606
Zone_2B_1_23	1.415535312682693
Zone_3_1_23	0.6680928090089001
Zone_3_4_23	0.43635962404303136
Zone_3_3_23	0.6746204281687216
Zone_3_2_23	0.6043705054981933
Zone_2A_12_23	1.8117320644313721
Zone_2A_10_23	0.5215863544463918
Zone_2A_1_23	0.9729598950066983
Musq_25_23	2.1534692321500026
Musq_27_23	1.1796871830111715
Musq_29_23	0.43093790652245567
Musq_31_23	1.7564581631245708
Musq_19_23	3.1016269298057115
Musq_01_23	3.2247414843007154
Musq_03_23	2.964899023392318
Musq_05_23	2.6089226337924716
Musq_07_23	2.3079166283484827
Musq_09_23	1.5876622371058176
Musq_11_23	2.841200732001357
Musq_13_23	2.5317003944990675
Musq_15_23	2.629257747897996
Musq_17_23	2.664097930271965
Musq_21_23	2.587734174118594
Musq_23_23	2.5999546071295847
Musq_19_24	1.716287049167844
Musq_21_24	3.8826002556479664
Musq_23_24	2.887807439275554
Musq_25_24	3.4836629107853163
Musq_27_24	4.4780115563667975
Musq_29_24	3.372636867583397
Musq_31_24	3.539152287049145
Zone_2B_1_24	4.404113840819505
Zone_2B_2_24	3.9633021684031102
Zone_2B_3_24	3.5811325949571087
Zone_3_1_24	3.832308898337498
Zone_3_3_24	2.7027917179103906
Zone_3_2_24	3.840114535589551
Zone_2A_12_24	4.395151193011216
Zone_2A_10_24	2.9794413335730763
Zone_2A_1_24	2.4750198976912494
Musq_01_24	2.824002844003821
Musq_03_24	2.573049919785335
Musq_05_24	2.6284912515051513
Musq_07_24	2.7982847090114262
Musq_09_24	3.1634925183836144
Musq_11_24	3.2456521692891327
Musq_13_24	3.344978615771101
Musq_15_24	2.476764708101601
Musq_17_24	2.2279323668132123
Musq_21_25	1.2904422959340636
Musq_19_25	2.0604740219613507
Musq_17_25	2.534480730990938
Musq_15_25	2.352545218530703
Musq_13_25	1.7350396112261313
Musq_11_25	2.333930667605988
Musq_09_25	2.0266276779608927
Musq_07_25	1.6711313374727608
Musq_05_25	1.775321373373372
Musq_03_25	1.161410064795496
Musq_01_25	1.1751263574074553
Musq_23_25	2.517165897110186
Musq_25_25	1.683449608149606
Zone_3_1_25	0.3686129923020589
Zone_3_3_25	1.2420492775966514
Musq_31_25	2.086063787862536
Zone_3_2_25	1.395172290875944
Musq_29_25	1.7081803654958874
Zone_2A_10_25	0.2862726890209702
Zone_2A_1_25	1.7603997540760465
Musq_27_25	1.2688824125220848
Zone_2A_12_25	2.247380697938768
Zone_2B_1_25	1.943909823612366
Zone_2B_3_25	1.143969021180324
Zone_2B_2_25	2.4087752151300297
