Taxonomy,Species,Zone_1_2025 MS_MiM,Zone_2A_2025 MS_MiM,Zone_2B_2025 MS_MiM,Zone_3_2025 MS_MiM,Zone_1_2024 MS_MiM,Zone_2A_2024 MS_MiM,Zone_2B_2024 MS_MiM,Zone_3_2024 MS_MiM,Zone_1_2023 MS_MiM,Zone_2A_2023 MS_MiM,Zone_2B_2023 MS_MiM,Zone_3_2023 MS_MiM,Zone_1_2023 NS_MiU,Zone_2A_2023 NS_MiU,Zone_2B_2023 NS_MiU,Zone_3_2023 NS_MiU,Zone_1_2022 NS_MiU,Zone_2A_2022 NS_MiU,Zone_2B_2022 NS_MiU,Zone_3_2022 NS_MiU,Cooper et al. (2023),ECW Inc. (2022),Ipsen et al. (2013),Arens et al. (2007),Singh et al. (2000)
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden),Brevoortia tyrannus,0,0,0,0,484097,364342,223599,258282,0,0,24,8,3911183,7621703,7034577,6677667,2603252,1073232,6274541,6094309,0,0,0,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,865063,250157,5555,92367,1012656,293731,6251,22658,418217,112461,5436,7779,1159336,186518,0,0,22096275,907536,14,2322868,0,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,1720644,39099,14513,2031,1515537,197146,9110,18251,677462,287466,32735,7725,7790487,4026978,0,0,8215221,0,4,1156413,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__Clupea harengus (Atlantic herring),Clupea harengus,108819,963571,631947,497413,9333,104362,17979,142435,15159,63284,41244,88746,605968,0,844195,300075,1391385,4908165,1737440,3491980,0,1,1,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gaidropsaridae;g__Enchelyopus;s__Enchelyopus cimbrius (fourbeard rockling),Enchelyopus cimbrius,0,0,0,0,796,6560,24174,0,3,0,11857,0,0,0,0,0,4,1212882,11260544,565,0,0,0,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden),Brevoortia patronus,366217,274383,310398,257991,16031,0,8759,0,511311,780987,764324,1024932,4811,830218,1081373,21739,41,4935660,68356,198,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Anguillidae;g__Anguilla;s__Anguilla rostrata (American eel),Anguilla rostrata,22007,8,20,6,134992,92,14,11370,445573,36211,172,251,4952304,0,0,0,3289770,0,0,0,1,1,1,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside),Menidia menidia,287751,98547,30753,337,278720,267258,10565,60916,146065,102397,3380,26935,1166706,1206008,0,102026,2981341,470525,0,0,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa pseudoharengus (alewife),Alosa pseudoharengus,85915,70794,70387,114118,42334,78126,13152,6832,27093,12157,0,4039,1263,569,555,0,106,2925182,5,388606,1,1,1,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Scomber;s__Scomber scombrus (Atlantic mackerel),Scomber scombrus,24,18798,3756,0,175,26179,11095,19245,49,62241,6853,0,1039376,1339950,0,0,0,2,10,3,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cypriniformes;f__Catostomidae;g__Catostomus;s__Catostomus commersonii (white sucker),Catostomus commersonii,0,0,0,0,22229,0,0,0,149914,17668,47,33,2067147,0,0,0,0,0,0,0,0,0,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis chuss (red hake),Urophycis chuss,0,0,0,0,0,0,0,0,1307,14281,0,4484,0,0,0,0,0,0,49,2187196,0,0,0,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Labriformes;f__Labridae;g__Tautogolabrus;s__Tautogolabrus adspersus (cunner),Tautogolabrus adspersus,2745,6093,10178,54002,174,65,106568,16021,4,11,17865,12,0,0,0,0,0,0,4,1928475,0,0,0,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa aestivalis (blueback shad),Alosa aestivalis,0,0,0,0,104430,342063,21329,30972,51771,85563,20524,20271,577360,254706,250823,116748,0,0,0,0,0,0,0,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa sapidissima (American shad),Alosa sapidissima,0,0,0,0,8114,6448,8756,7259,0,0,0,0,0,0,0,0,0,0,1605706,3,0,0,0,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Pleuronectiformes;f__Pleuronectidae;g__Pseudopleuronectes;s__Pseudopleuronectes americanus (winter flounder),Pseudopleuronectes americanus,196438,63571,23900,250,30907,69058,36,36704,23581,44502,12343,10332,421643,168388,0,0,0,0,0,0,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Osmeriformes;f__Osmeridae;g__Osmerus;s__Osmerus mordax (rainbow smelt),Osmerus mordax,181518,93293,97,152,65720,96428,40204,14931,102311,74222,56,4835,44165,0,0,0,66925,195568,0,0,1,1,1,1,1
k__Metazoa;p__Chordata;c__Actinopteri;o__unclassified Actinopteri order;f__Moronidae;g__Morone;s__Morone saxatilis (striped sea-bass),Morone saxatilis,92910,74,23,18,54066,2276,0,5,79492,9450,8,8571,144011,105811,0,0,0,0,0,0,1,1,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Pholidae;g__Pholis;s__Pholis gunnellus (rock gunnel),Pholis gunnellus,24154,46008,58788,112,143,28626,63528,25398,11136,12486,10629,0,0,0,0,0,0,0,0,0,0,1,1,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Phycidae;g__Urophycis;s__Urophycis tenuis (white hake),Urophycis tenuis,46204,37,0,0,44697,68479,14819,7100,4,2695,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Cryptacanthodidae;g__Cryptacanthodes;s__Cryptacanthodes maculatus (wrymouth),Cryptacanthodes maculatus,13108,40266,7415,26,7580,32437,12974,5980,0,13952,7652,7832,0,0,0,0,0,0,0,0,0,1,0,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Gadus;s__Gadus morhua (Atlantic cod),Gadus morhua,28,40,110338,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
k__Metazoa;p__Chordata;c__Actinopteri;o__Perciformes;f__Zoarcidae;g__Zoarces;s__Zoarces americanus (ocean pout),Zoarces americanus,3638,6664,0,32181,2721,6912,9719,14431,0,3793,9634,0,0,0,0,0,0,0,0,0,0,0,0,0,1
k__Metazoa;p__Chordata;c__Chondrichthyes;o__Rajiformes;f__Rajidae;g__Leucoraja;s__Leucoraja ocellata (winter skate),Leucoraja ocellata,840,0,3555,0,39,83694,28,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
