Species,2022,2023_ABL,2023_CEGA,2024,2025,Baseline
Acipenser oxyrinchus,0,0,0,27940,45994,1
Alopias vulpinus,0,2615,0,2970,1976,0
Alosa aestivalis,0,178129,1199637,498794,0,1
Alosa pseudoharengus,3313899,43289,2387,140444,341214,1
Alosa sapidissima,1605709,0,0,30577,0,1
Ammodytes sp.,10,0,0,0,0,1
Anguilla rostrata,3289770,482207,4952304,146468,22041,1
Apeltes quadracus,0,10587,0,6196,21117,1
Brevoortia sp.,21049589,3081586,27183271,1355110,1208989,1
Carcharodon carcharias,0,0,0,2220,0,0
Catostomus commersonii,0,167662,2067147,22229,0,0
Clupea harengus,11528970,208433,1750238,274109,2201750,1
Cryptacanthodes maculatus,0,29436,0,58971,60815,0
Cyclopterus lumpus,0,4994,0,0,31514,1
Enchelyopus cimbrius,12473995,11860,0,31530,0,1
Eumesogrammus praecisus,0,18774,0,0,31912,0
Fundulus diaphanus,0,0,0,0,0,1
Fundulus heteroclitus,25326693,543893,1345854,1335296,1213142,1
Gadus morhua,0,0,0,0,110563,1
Gasterosteus aculeatus,0,0,0,0,0,1
Gasterosteus wheatlandi,0,0,0,0,19531,1
Halichoerus grypus,0,824,0,0,684,0
Hemitripterus americanus,0,0,0,29792,32310,1
Leucoraja erinaceus,0,11157,0,31823,6706,0
Leucoraja ocellata,0,0,0,83783,4395,0
Liopsetta putnami,0,0,0,0,0,1
Lophius americanus,0,0,0,15079,0,0
Mallotus villosus,0,0,0,0,0,1
Menidia menidia,3451866,278777,2474740,617459,417388,1
Merluccius bilinearis,0,12917,0,0,9968,0
Microgadus tomcod,9371638,1005388,11817465,1740044,1776287,1
Micropterus dolomieu,0,29318,0,0,0,0
Morone saxatilis,0,97521,249822,56347,93025,1
Myoxocephalus sp.,0,11505,0,64414,67993,1
Myzopsetta ferruginea,0,0,0,0,0,1
Osmerus mordax,262493,181424,44165,217283,275060,1
Phoca vitulina,0,20416,9025,0,20343,0
Phocoena phocoena,31086,9114,1897,20070,2514,0
Pholis gunnellus,0,34251,0,117695,129062,1
Pollachius virens,0,0,0,0,20664,1
Pseudopleuronectes americanus,0,90758,590031,136705,284159,1
Pungitius pungitius,0,10516,0,0,0,1
Reinhardtius hippoglossoides,195,0,0,0,0,0
Rhinichthys atratulus,0,14037,0,2419,0,0
Salvelinus fontinalis,0,0,0,0,0,1
Scomber scombrus,15,69143,2379326,56694,22578,0
Sebastes mentella,31,0,0,0,0,0
Semotilus atromaculatus,0,22301,0,3561,0,0
Semotilus corporalis,0,28171,0,0,0,0
Sprattus sprattus,0,0,5370,0,0,0
Squalus acanthias,0,7059,0,0,11425,0
Tautogolabrus adspersus,1928479,17892,0,122828,73018,1
Urophycis chuss,2187245,20072,0,0,0,1
Urophycis tenuis,0,2699,0,135095,46241,1
Zoarces americanus,0,13427,0,33783,42483,1
