Species,eDNA 2022,eDNA 2023,eDNA 2024,eDNA 2025,Cooper et al. 2021,Ipsen et al. 2013,Arens et al. 2007,Singh et al. 2000
Acipenser oxyrinchus,0,0,27940,45994,1,0,0,0
Alopias vulpinus,0,2615,2970,1976,0,0,0,0
Alosa aestivalis,0,178129,498794,0,0,0,1,1
Alosa pseudoharengus,3313899,43289,140444,341214,1,1,0,1
Alosa sapidissima,1605709,0,30577,0,0,0,1,0
Ammodytes sp.,10,0,0,0,0,1,1,0
Anguilla rostrata,3289770,482207,146468,22041,1,1,0,1
Apeltes quadracus,0,10587,6196,21117,0,0,1,0
Brevoortia sp.,21049589,3081586,1355110,1208989,0,0,1,0
Carcharodon carcharias,0,0,2220,0,0,0,0,0
Catostomus commersonii,0,167662,22229,0,0,0,0,0
Clupea harengus,11528970,208433,274109,2201750,0,1,0,1
Cryptacanthodes maculatus,0,29436,58971,60815,0,0,0,0
Cyclopterus lumpus,0,4994,0,31514,1,1,1,1
Enchelyopus cimbrius,12473995,11860,31530,0,0,0,1,0
Eumesogrammus praecisus,0,18774,0,31912,0,0,0,0
Fundulus diaphanus,0,0,0,0,0,0,1,0
Fundulus heteroclitus,25326693,543893,1335296,1213142,0,1,1,1
Gadus morhua,0,0,0,110563,1,1,0,1
Gasterosteus aculeatus,0,0,0,0,1,1,0,1
Gasterosteus wheatlandi,0,0,0,19531,1,1,0,0
Halichoerus grypus,0,824,0,684,0,0,0,0
Hemitripterus americanus,0,0,29792,32310,0,1,0,1
Leucoraja erinaceus,0,11157,31823,6706,0,0,0,0
Leucoraja ocellata,0,0,83783,4395,0,0,0,0
Liopsetta putnami,0,0,0,0,0,0,0,1
Lophius americanus,0,0,15079,0,0,0,0,0
Mallotus villosus,0,0,0,0,0,0,1,1
Menidia menidia,3451866,278777,617459,417388,1,1,1,1
Merluccius bilinearis,0,12917,0,9968,0,0,0,0
Microgadus tomcod,9371638,1005388,1740044,1776287,1,1,1,1
Micropterus dolomieu,0,29318,0,0,0,0,0,0
Morone saxatilis,0,97521,56347,93025,1,0,0,0
Myoxocephalus sp.,0,11505,64414,67993,1,1,1,1
Osmerus mordax,262493,181424,217283,275060,1,1,1,1
Phoca vitulina,0,20416,0,20343,0,0,0,0
Phocoena phocoena,31086,9114,20070,2514,0,0,0,0
Pholis gunnellus,0,34251,117695,129062,0,1,0,1
Pollachius virens,0,0,0,20664,1,1,1,1
Pseudopleuronectes americanus,0,90758,136705,284159,1,1,1,1
Pungitius pungitius,0,10516,0,0,0,1,0,1
Reinhardtius hippoglossoides,195,0,0,0,0,0,0,0
Rhinichthys atratulus,0,14037,2419,0,0,0,0,0
Salvelinus fontinalis,0,0,0,0,0,0,0,1
Scomber scombrus,15,69143,56694,22578,0,0,0,0
Sebastes mentella,31,0,0,0,0,0,0,0
Semotilus atromaculatus,0,22301,3561,0,0,0,0,0
Semotilus corporalis,0,28171,0,0,0,0,0,0
Squalus acanthias,0,7059,0,11425,0,0,0,0
Tautogolabrus adspersus,1928479,17892,122828,73018,0,0,1,0
Urophycis chuss,2187245,20072,0,0,0,0,1,1
Urophycis tenuis,0,2699,135095,46241,1,1,1,0
Zoarces americanus,0,13427,33783,42483,0,0,0,1
