Species,2022,2023,2024,2025,Cooper et al. 2021,Ipsen et al. 2013,Arens et al. 2007,Singh et al. 2000
Acipenser oxyrinchus,0,0,27940,45994,1,0,0,0
Alopias vulpinus,0,0,2970,1976,0,0,0,0
Alosa sp.,4919608,1202024,669815,341214,1,1,1,1
Ammodytes sp.,10,0,0,0,0,1,1,0
Anguilla rostrata,3289770,4952304,146468,22041,1,1,0,1
Apeltes quadracus,0,0,6196,21117,0,0,1,0
Asterias rubens,0,0,0,27668,0,0,0,0
Brevoortia sp.,21049589,27183271,1355110,1208989,0,0,1,0
Carcharodon carcharias,0,0,2220,0,0,0,0,0
Catostomus commersonii,0,2067147,22229,0,0,0,0,0
Clupea harengus,11528970,1750238,274109,2201750,0,1,0,1
Cryptacanthodes maculatus,0,0,58971,60815,0,0,0,0
Cyclopterus lumpus,0,0,0,31514,1,1,1,1
Enchelyopus cimbrius,12473995,0,31530,0,0,0,1,0
Eumesogrammus praecisus,0,0,0,31912,0,0,0,0
Fundulus diaphanus,0,0,0,0,0,0,1,0
Fundulus heteroclitus,25326693,1345854,1335296,1213142,0,1,1,1
Gadus morhua,0,0,0,110563,1,1,0,1
Gasterosteus aculeatus,0,0,0,0,1,1,0,1
Gasterosteus wheatlandi,0,0,0,19531,1,1,0,0
Halichoerus grypus,0,0,0,684,0,0,0,0
Hemitripterus americanus,0,0,29792,32310,0,1,0,1
Leucoraja erinaceus,0,0,31823,6706,0,0,0,0
Leucoraja ocellata,0,0,83783,4395,0,0,0,0
Liopsetta putnami,0,0,0,0,0,0,0,1
Lophius americanus,0,0,15079,0,0,0,0,0
Mallotus villosus,0,0,0,0,0,0,1,1
Menidia menidia,3451866,2474740,617459,417388,1,1,1,1
Merluccius bilinearis,0,0,0,9968,0,0,0,0
Microgadus tomcod,9371638,11817465,1740044,1776287,1,1,1,1
Morone saxatilis,0,249822,56347,93025,1,0,0,0
Myoxocephalus sp.,0,0,64414,67993,1,1,1,1
Myzopsetta ferruginea,0,0,0,0,0,0,0,1
Osmerus mordax,262493,44165,217283,275060,1,1,1,1
Phoca vitulina,0,9025,0,20343,0,0,0,0
Phocoena phocoena,31086,1897,20070,2514,0,0,0,0
Pholis gunnellus,0,0,117695,129062,0,1,0,1
Pollachius virens,0,0,0,20664,1,1,1,1
Pseudopleuronectes americanus,0,590031,136705,284159,1,1,1,1
Pungitius pungitius,0,0,0,0,0,1,0,1
Reinhardtius hippoglossoides,195,0,0,0,0,0,0,0
Rhinichthys atratulus,0,0,2419,0,0,0,0,0
Salvelinus fontinalis,0,0,0,0,0,0,0,1
Scomber scombrus,15,2379326,56694,22578,0,0,0,0
Sebastes mentella,31,0,0,0,0,0,0,0
Semotilus atromaculatus,0,0,3561,0,0,0,0,0
Sprattus sprattus,0,5370,0,0,0,0,0,0
Squalus acanthias,0,0,0,11425,0,0,0,0
Tautogolabrus adspersus,1928479,0,122828,73018,0,0,1,0
Urophycis chuss,2187245,0,0,0,0,0,1,1
Urophycis tenuis,0,0,135095,46241,1,1,1,0
Zoarces americanus,0,0,33783,42483,0,0,0,1
