Taxonomy,Species,Zone_1_2022,Zone_2A_2022,Zone_2B_2022,Zone_3_2022,Zone_1_2023,Zone_2A_2023,Zone_2B_2023,Zone_3_2023,Zone_1_2024,Zone_2A_2024,Zone_2B_2024,Zone_3_2024,Cooper et al. 2021,Ipsen et al. 2013,Arens et al. 2007,Singh et al. 2000,NA_2025
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia tyrannus (Atlantic menhaden),Brevoortia tyrannus,2603252,1073232,6274541,6094309,3911183,7621703,7034577,6677667,484097,364342,223599,258282,0,0,1,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Cyprinodontiformes;f__Fundulidae;g__Fundulus;s__Fundulus heteroclitus (mummichog),Fundulus heteroclitus,22096275,907536,14,2322868,1159336,186518,0,0,1012656,293731,6251,22658,0,1,1,1,1213142
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gadidae;g__Microgadus;s__Microgadus tomcod (Atlantic tomcod),Microgadus tomcod,8215221,0,4,1156413,7790487,4026978,0,0,1515537,197146,9110,18251,1,1,1,1,1776287
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Clupea;s__Clupea harengus (Atlantic herring),Clupea harengus,1391385,4908165,1737440,3491980,605968,0,844195,300075,9333,104362,17979,142435,0,1,0,1,2201750
k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Gaidropsaridae;g__Enchelyopus;s__Enchelyopus cimbrius (fourbeard rockling),Enchelyopus cimbrius,4,1212882,11260544,565,0,0,0,0,796,6560,24174,0,0,0,1,0,0
k__Metazoa;p__Chordata;c__Actinopteri;o__Anguilliformes;f__Anguillidae;g__Anguilla;s__Anguilla rostrata (American eel),Anguilla rostrata,3289770,0,0,0,4952304,0,0,0,134992,92,14,11370,1,1,0,1,22041
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Brevoortia;s__Brevoortia patronus (Gulf menhaden),Brevoortia patronus,41,4935660,68356,198,4811,830218,1081373,21739,16031,0,8759,0,0,0,0,0,1208989
k__Metazoa;p__Chordata;c__Actinopteri;o__Atheriniformes;f__Atherinopsidae;g__Menidia;s__Menidia menidia (Atlantic silverside),Menidia menidia,2981341,470525,0,0,1166706,1206008,0,102026,278720,267258,10565,60916,1,1,1,1,417388
k__Metazoa;p__Chordata;c__Actinopteri;o__Clupeiformes;f__Clupeidae;g__Alosa;s__Alosa pseudoharengus (alewife),Alosa pseudoharengus,106,2925182,5,388606,1263,569,555,0,42334,78126,13152,6832,1,1,0,1,341214
k__Metazoa;p__Chordata;c__Actinopteri;o__Scombriformes;f__Scombridae;g__Scomber;s__Scomber scombrus (Atlantic mackerel),Scomber scombrus,0,2,10,3,1039376,1339950,0,0,175,26179,11095,19245,0,0,0,0,22578
