4d3b0460f538b3c4adec6fc7c690bd0d	gi|2413015895|gb|CP104059.1|	93.562	100	6.11e-91	233	195108	Fusarium falciforme	ascomycete fungi	Fusarium falciforme
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|1574125453|gb|MH698560.1|	95.257	100	5.09e-107	253	2518966	Isospora sp. ex Myodes glareolus	apicomplexans	Isospora sp. ex Myodes glareolus
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2274299315|gb|OL999138.1|	95.257	100	5.09e-107	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|1574125447|gb|MH698557.1|	94.862	100	6.58e-106	253	2518966	Isospora sp. ex Myodes glareolus	apicomplexans	Isospora sp. ex Myodes glareolus
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|1574125443|gb|MH698555.1|	94.466	100	2.37e-105	253	2518966	Isospora sp. ex Myodes glareolus	apicomplexans	Isospora sp. ex Myodes glareolus
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|1574125439|gb|MH698553.1|	94.862	100	2.37e-105	253	2518966	Isospora sp. ex Myodes glareolus	apicomplexans	Isospora sp. ex Myodes glareolus
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2724422264|gb|PP667049.1|	94.862	100	2.37e-105	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2576868872|gb|OR243296.1|	94.862	100	2.37e-105	253	3058625	Isospora juruviarae	apicomplexans	Isospora juruviarae
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2274299583|gb|OL999272.1|	94.862	100	2.37e-105	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2274299519|gb|OL999240.1|	94.862	100	2.37e-105	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
0f6f6bce9ab39cc9dafd1cfe142a66c0	gi|2274299337|gb|OL999149.1|	94.862	100	2.37e-105	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|1967464846|gb|MN184725.1|	92.885	100	5.16e-97	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|2274299281|gb|OL999121.1|	91.700	100	5.20e-92	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|2274299279|gb|OL999120.1|	91.700	100	5.20e-92	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|2274299277|gb|OL999119.1|	91.700	100	5.20e-92	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|2274299275|gb|OL999118.1|	91.700	100	5.20e-92	253	1743397	Isospora sp.	apicomplexans	Isospora sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|1967464842|gb|MN184723.1|	91.667	99	1.87e-91	252	1729940	Eimeria sp.	apicomplexans	Eimeria sp.
fc7c2f4b020c0e7aed9b8f781a4b21b0	gi|1026604256|gb|KU255438.1|	91.304	100	2.42e-90	253	1844963	Eimeria sp. 2 JK-2016	apicomplexans	Eimeria sp. 2 JK-2016
